x,y,elevacion,marcado,distancia
434813.8082108296,4812396.530635933,10.5,True,0.0
434810.15929753904,4812395.6773930425,10.6,True,3.7473446109333466
434806.6020250657,4812395.933948423,10.7,True,3.566512037385481
434803.04475282494,4812396.190505684,10.7,True,3.5665119407191437
434799.4821073188,4812395.891775305,10.7,True,3.5751479468061858
434796.08232811245,4812395.702538976,10.7,True,3.405041709037807
434792.0332314316,4812395.297451831,10.7,True,4.069309465471551
434788.39291353634,4812395.332683934,10.8,True,3.6404883847783958
434785.23582149035,4812395.141104205,10.8,True,3.162899457705796
434781.8349663685,4812394.840817152,10.8,True,3.414086682256169
434778.434110909,4812394.540531812,10.8,True,3.4140868678874448
434775.11845148244,4812394.683696688,10.8,True,3.31874880258112
434771.9602834754,4812394.381065265,10.8,True,3.1726346998651778
434768.4774560615,4812393.970510194,10.7,True,3.506942009984985
434765.31713683566,4812393.445766069,10.7,True,3.2035876773027674
434761.92165635637,4812393.700778576,10.8,True,3.4050431808951562
434758.52079922985,4812393.400503272,10.8,True,3.414087645742732
434754.8751029447,4812392.880463945,10.8,True,3.6825999383408052
434751.4742450184,4812392.580192191,10.8,True,3.4140881302536883
434747.9137458607,4812392.503604842,10.8,True,3.561322770247305
434744.2680481564,4812391.9835712435,10.8,True,3.6826005342664585
434740.9448582111,4812391.3493475905,10.8,True,3.3831687889661732
434737.21933898015,4812390.941159224,10.9,True,3.7478142006375954
434733.73758309183,4812390.641679976,10.9,True,3.494611836220359
434730.2536751803,4812390.120086713,10.9,True,3.522736701534891
434726.93048286083,4812389.485869948,10.9,True,3.3831698297908956
434723.28693358554,4812389.187963477,10.9,True,3.655707809255069
434720.04571213294,4812388.664024267,10.9,True,3.2832954177995606
434716.48305807984,4812388.36533769,11.0,True,3.5751528041903904
434713.48021933954,4812387.394818553,11.0,True,3.1557800773553994
434710.3241968991,4812387.314331766,11.0,True,3.1570485849197567
434706.684950439,4812387.460665875,11.0,True,3.6421873192376464
434703.12444758415,4812387.38410216,11.0,True,3.5613259584070054
434699.4765904799,4812386.641976922,11.1,True,3.7225812714247746
434696.3993106652,4812386.338596818,11.1,True,3.0921983353742712
434692.5982716818,4812386.486506657,11.1,True,3.803915702755515
434689.11651104246,4812386.18705042,11.1,True,3.4946145978522707
434685.31116573716,4812385.890732747,11.2,True,3.8168648202511193
434681.9103004738,4812385.590496034,11.2,True,3.4140923571153152
434678.1049544321,4812385.2941824235,11.2,True,3.816865239034239
434675.030903083,4812385.32398578,11.2,True,3.0741958195832706
434671.9568517322,4812385.353790537,11.2,True,3.074195834801789
434668.22917051904,4812384.723524428,11.2,True,3.7805875992784945
434664.7452537974,4812384.201964953,11.2,True,3.5227404118648606
434661.0984673051,4812383.5709183365,11.1,True,3.7009825117513055
434657.5325762103,4812382.9390891595,11.1,True,3.621434440841379
434653.8145860204,4812383.308352147,11.0,True,3.736282404467485
434648.9629734639,4812383.57754401,11.0,True,4.8590748767639
434647.10344008263,4812383.706648665,11.0,True,1.864009765991685
434644.03154237114,4812383.958581968,11.1,True,3.0822112093984817
434640.55193238606,4812383.8812666,11.1,True,3.480468835423487
434636.74766046123,4812383.696034224,11.1,True,3.808778795289287
434633.3414042593,4812382.840532461,11.1,True,3.512045640199765
434630.1810680188,4812382.315851556,11.1,True,3.2035941074695398
434627.02288633166,4812382.013287941,11.2,True,3.172641850265981
434623.45914604404,4812381.603592565,11.2,True,3.587212725565471
434619.98384500283,4812381.970519428,11.2,True,3.4946176686040418
434616.2604673356,4812381.7845136225,11.2,True,3.7280208439207816
434613.0192329631,4812381.260625771,11.3,True,3.283299976867955
434609.7758424136,4812380.514623663,11.3,True,3.3280777336930454
434606.6187366454,4812380.323127498,11.3,True,3.1629080943162395
434603.4594748175,4812379.909517,11.3,True,3.186221734396314
434600.2171604478,4812379.274577385,11.3,True,3.303899330714679
434596.974845437,4812378.639639321,11.3,True,3.303899661682589
434593.4930754912,4812378.34023241,11.3,True,3.494619643641385
434590.3402806497,4812378.592975478,11.3,True,3.1629091626384334
434587.1098244198,4812379.179679114,11.3,True,3.283301480347668
434584.02714387246,4812378.321060712,11.3,True,3.200022643191428
434580.5442947478,4812377.910602579,11.3,True,3.5069522244305835
434577.310603879,4812378.1641371995,11.2,True,3.24361471802885
434574.00356590876,4812379.195864242,11.2,True,3.4642402956219214
434570.60808349523,4812379.450973149,11.2,True,3.4050523307921274
434567.53295043146,4812379.3697676165,11.2,True,3.076205080692196
434564.4664458061,4812380.177026734,11.2,True,3.1709805896297047
434561.3222815943,4812381.318246655,11.2,True,3.3448694294221535
434557.852376517,4812382.240495132,11.1,True,3.5903737268768214
434554.6219245531,4812382.827214396,11.1,True,3.2833000753885204
434551.1552574703,4812384.082640063,11.1,True,3.686987153397495
434547.6734878069,4812383.783256834,11.0,True,3.4946173333504538
434543.7106566782,4812383.932822372,10.9,True,3.9656525824748887
434540.13612173585,4812382.412591946,10.9,True,3.8843790495619404
434536.8938019712,4812381.777682745,10.8,True,3.303898780249514
434533.3257387757,4812380.92380335,10.7,True,3.6688124765669783
434530.2527638483,4812381.064730646,10.7,True,3.0762047083090893
434527.1021304158,4812381.53961916,10.6,True,3.186221920471056
434523.4671997567,4812382.130283861,10.6,True,3.6826085436821545
434520.31440864503,4812382.383059744,10.5,True,3.162908067039765
434515.6278291817,4812382.98394904,10.4,True,4.724943916306803
434513.85027297324,4812383.223362168,10.4,True,1.7936066236214812
434510.37389811536,4812383.479287729,10.4,True,3.4857825584768323
434507.3063221752,4812384.175515052,10.4,True,3.1455928907490636
